alienchac         "Alien Challenge (China)"
orlegend111c      "Oriental Legend / Xiyou Shi E Chuan (ver. 111, Chinese Board)"
orlegend111k      "Oriental Legend / Xiyou Shi E Chuan (ver. 111, Korean Board)"
orlegend111t      "Oriental Legend / Xiyou Shi E Chuan (ver. 111, Taiwanese Board)"
orlegendc         "Oriental Legend / Xiyou Shi E Chuan (ver. 112, Chinese Board)"
orlegende         "Oriental Legend / Xiyou Shi E Chuan (ver. 112)"
orleg2_101        "Oriental Legend 2 (V101, Oversea)"
orleg2            "Oriental Legend 2 (V104, Oversea)"
orleg2_103        "Oriental Legend 2 (V103, Oversea)"
olds100           "Oriental Legend Special / Xiyou Shi E Chuan Super (ver. 100, set 1)"
olds              "Oriental Legend Super / Xiyou Shi E Chuan Super (ver. 101, Korean Board)"
olds100a          "Oriental Legend Special / Xiyou Shi E Chuan Super (ver. 100, set 2)"
svgpcb            "S.V.G. - Spectral vs Generation / Sheng Mo Shiji (M68k label V100JP) (ARM label V100JP, ROM 05/12/05 S.V.G V100) (Japan, JAMMA PCB)"
svg               "S.V.G. - Spectral vs Generation / Sheng Mo Shiji (M68k label V200) (ARM label V200, ROM 10/11/05 S.V.G V201)"
svgtw             "S.V.G. - Spectral vs Generation / Sheng Mo Shiji (M68k label V101TW) (ARM label V101TW, ROM 06/20/05 S.V.G V100)"
orleg2_101jp      "Saiyuu Shakuyakuden 2 (V101, Japan)"
orleg2_103jp      "Saiyuu Shakuyakuden 2 (V103, Japan)"
orleg2_104jp      "Saiyuu Shakuyakuden 2 (V104, Japan)"
kov2nl_300cn      "Sanguo Zhan Ji 2 Gaishi Yingxiong (V300, China)"
kov2nl_301cn      "Sanguo Zhan Ji 2 Gaishi Yingxiong (V301, China)"
kov2nl_302cn      "Sanguo Zhan Ji 2 Gaishi Yingxiong (V302, China)"
theglad100        "The Gladiator / Shen Jian Fu Mo Lu / Shen Jian Fengyun (M68k label V100) (ARM label V100, ROM 01/16/03 SHEN JIAN)"
theglad           "The Gladiator / Shen Jian Fu Mo Lu / Shen Jian Fengyun (M68k label V101) (ARM label V107, ROM 06/06/03 SHEN JIAN V107)"
theglad101        "The Gladiator / Shen Jian Fu Mo Lu / Shen Jian Fengyun (M68k label V100) (ARM label V101, ROM 03/13/03 SHEN JIAN)"
killbld104        "The Killing Blade / Ao Jian Kuang Dao (ver. 104)"
killbld           "The Killing Blade / Ao Jian Kuang Dao (ver. 109, Chinese Board)"
killbld106        "The Killing Blade / Ao Jian Kuang Dao (ver. 106)"
killbldp          "The Killing Blade Plus / Ao Jian Kuang Dao Jiaqiang Ban (China, ver. 300)"
thegladpcb        "Tougenkyou - Road of the Sword (M68k label V100) (ARM label V100, ROM 02/25/03 SHEN JIAN) (Japan, JAMMA PCB)"
orleg2_101cn      "Xiyou Shi E Chuan 2 (V101, China)"
orleg2_103cn      "Xiyou Shi E Chuan 2 (V103, China)"
orleg2_104cn      "Xiyou Shi E Chuan 2 (V104, China)"
olds103t          "Xiyou Shi E Chuan Super (ver. 103, China, Tencent) (unprotected)"
drgw2c            "Zhongguo Long II (ver. 100C, China)"
